source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/auto.c	12	00403E50	004228B0	visit_the_cinema	visit_the_cinema	WC1-fuzzy-very-low		mapped
src/auto.c	39	00403EE0	00422953	player_wingman	player_wingman	WC1-callgraph-propagated		mapped
src/auto.c	47	00403F10	00422990	set_speed	set_speed	WC1-callgraph-single-low		mapped
src/auto.c	54	00403F40	004229B9	auto_position	auto_position	WC1-callgraph-propagated		mapped
src/auto.c	93	00404050	00422B1C	auto_pilot_sequence	auto_pilot_sequence	WC1-callgraph-propagated		mapped
src/barracks.c	10	0041ADA0		CreateEmptySaveGameFile				unmapped
src/barracks.c	122	0041B020		EnsureSaveGameFile				unmapped
src/barracks.c	140	0041B070		InitializeBarracksAnimation				unmapped
src/barracks.c	164	0041B0E0		FreeBarracksMenuLabel				unmapped
src/barracks.c	175			SetAwakenBarracksMenuLabel				unmapped
src/barracks.c	192	0041B180		FreeBarracksMenuLabels				unmapped
src/barracks.c	215	0041B1E0		SaveGame				unmapped
src/barracks.c	306	0041B420		RunWc1TextInputPrompt				unmapped
src/barracks.c	348	0041B550	004346E9	WarnLoadGameFirst	WarnLoadGameFirst	WC1-callgraph-propagated		mapped
src/barracks.c	368	0041B5C0		SaveGameWithNamePrompt				unmapped
src/barracks.c	407	0041B710		LoadGame				unmapped
src/barracks.c	508	0041B980		LoadGameFromSlot				unmapped
src/barracks.c	547	0041BAD0		SetBunkMenuLabel				unmapped
src/barracks.c	562	0041BB20		GetBunkInfo				unmapped
src/barracks.c	589	0041BBD0	0046138D	DrawBarracksBunks	SceneRoutine02	WC1-callgraph-propagated		mapped
src/barracks.c	617	0041BC90		DrawBarracksStaticDetails				unmapped
src/barracks.c	627	0041BCE0		AnimateWc1Barracks				unmapped
src/barracks.c	711	0041BF10	00434F7D	ConfirmQuitWingCommander	ConfirmQuitWingCommander	WC1-callgraph-propagated		mapped
src/barracks.c	727	0041BF60	00436722	ConfirmAwakenAfterBadData	ConfirmAwakenAfterBadData	WC1-callgraph-propagated		mapped
src/barracks.c	747	0041BFE0	0043641C	ConfirmReplaceFaultyData	ConfirmReplaceFaultyData	WC1-callgraph-propagated		mapped
src/barracks.c	771	0041C090	00418DAA	HandleBarracksBunkSelection	GetNavFnC090	WC1-callgraph-propagated		mapped
src/barracks.c	804	0041C140		UpdateBarracksScreen				unmapped
src/barracks.c	813	0041C170	00419831	BarracksScreen	BarracksScreen	WC1-callgraph-propagated		mapped
src/barracks.c	837	0041C090	00418DAA	RunCampaignSelectionFrame	RunCampaignSelectionFrame	WC2-manual-verified		mapped
src/barracks.c	949	0041C510	004225A0	StepPaletteTransition	StepPaletteTransition	WC1-fuzzy-very-low		mapped
src/barracks.c	991	0041C170	00419831	BarracksScreen	BarracksScreen	WC2-manual-verified		mapped
src/barracks.c	1029	0041C740	00446910	DosStrcat	DosStrcat	WC1-callgraph-propagated		mapped
src/brains.c			00460650	UpdateTargetCameraObject	UpdateTargetCameraObject	WC2-only		wc2-only
src/brains.c	0		00441837	ShipAiState47	ShipAiState47	WC2-only		wc2-only
src/brains.c	0		00441895	ShipAiState28	ShipAiState28	WC2-only		wc2-only
src/brains.c	0		004418B2	ShipAiState46	ShipAiState46	WC2-only		wc2-only
src/brains.c	0		00442438	ShipAiState3	ShipAiState3	WC2-only		wc2-only
src/brains.c	0		00442455	ShipAiState45	ShipAiState45	WC2-only		wc2-only
src/brains.c	0		0044B48F	ApplyAlternateShipType	ApplyAlternateShipType	WC2-only		wc2-only
src/brains.c	0		0044B83C	LoadAlternateShipType	LoadAlternateShipType	WC2-only		wc2-only
src/brains.c	0		0044BE84	FindObjectResourceSlot	FindObjectResourceSlot	WC2-only		wc2-only
src/brains.c	15		00440490	HandleUnsupportedManeuver	HandleUnsupportedManeuver	WC2-only		wc2-only
src/brains.c	23		004404CC	BeginShipCloak	BeginShipCloak	WC2-only		wc2-only
src/brains.c	36		00440549	ResetShipCloakState	ResetShipCloakState	WC2-only		wc2-only
src/brains.c	43	004060A0	00440606	SetShipAiScratchWord	HelperOf4075D0A	WC1-callgraph-single		mapped
src/brains.c	49	004060B0	0044061B	maneuver_complete	maneuver_complete	WC1-fuzzy-low		mapped
src/brains.c	56	004060D0	00440642	Mline_up_drop	Mline_up_drop	WC1-fuzzy-low		mapped
src/brains.c	72	00406130	004406BA	Mwabble	ShipAiState13	WC1-fuzzy-followup		mapped
src/brains.c	100	004061E0	004407B0	advance	advance	WC1-order-exact		mapped
src/brains.c	111	00406200	004407DA	ShipAiState35	ShipAiState35	WC1-order-exact		mapped
src/brains.c	154	00406310	004407F7	Mfull_ahead	Mfull_ahead	WC1-order-exact		mapped
src/brains.c	170	00406350	00440814	Mchill	Mchill	WC1-order-exact		mapped
src/brains.c	185	004063B0	00440831	Mdrop_a_mine	Mdrop_a_mine	WC1-order-exact		mapped
src/brains.c	203	00406400	0044084E	Mthink	Mthink	WC1-order-exact		mapped
src/brains.c	217	00406440	0044086B	Mtight_loop	Mtight_loop	WC1-fuzzy-very-low		mapped
src/brains.c	245	004064F0	00440967	Mhard_break	Mhard_break	WC1-fuzzy-followup		mapped
src/brains.c	273	004065A0	00440A93	Msit_n_spin	Msit_n_spin	WC1-fuzzy-followup		mapped
src/brains.c	342	004067A0	00440D0B	Mturn_n_spin	Mturn_n_spin	WC1-fuzzy-followup		mapped
src/brains.c	376	00406860	00440E46	Mburnout	ShipAiState12	WC1-callgraph-propagated		mapped
